norad_id,age_days,mean_motion,altitude_km,inclination_deg,eccentricity,bstar,error_km
25544,0.25,15.48217,421.94,51.632,0.001115,0.00021756,0.165
25544,0.5,15.48217,421.94,51.632,0.001115,0.00021756,0.217
25544,1.0,15.48217,421.94,51.632,0.001115,0.00021756,0.148
25544,1.5,15.48217,421.94,51.632,0.001115,0.00021756,0.992
25544,2.0,15.48217,421.94,51.632,0.001115,0.00021756,1.61
25544,3.0,15.48217,421.94,51.632,0.001115,0.00021756,4.538
25544,4.0,15.48217,421.94,51.632,0.001115,0.00021756,6.734
25544,5.0,15.48217,421.94,51.632,0.001115,0.00021756,12.501
25544,6.0,15.48217,421.94,51.632,0.001115,0.00021756,20.909
25544,7.0,15.48217,421.94,51.632,0.001115,0.00021756,30.918
25544,0.25,15.48217,421.94,51.632,0.001115,0.00021756,0.171
25544,0.5,15.48217,421.94,51.632,0.001115,0.00021756,0.223
25544,1.0,15.48217,421.94,51.632,0.001115,0.00021756,0.15
25544,1.5,15.48217,421.94,51.632,0.001115,0.00021756,0.985
25544,2.0,15.48217,421.94,51.632,0.001115,0.00021756,1.603
25544,3.0,15.48217,421.94,51.632,0.001115,0.00021756,4.531
25544,4.0,15.48217,421.94,51.632,0.001115,0.00021756,6.727
25544,5.0,15.48217,421.94,51.632,0.001115,0.00021756,12.495
25544,6.0,15.48217,421.94,51.632,0.001115,0.00021756,20.902
25544,7.0,15.48217,421.94,51.632,0.001115,0.00021756,30.911
25544,0.25,15.48229,421.91,51.632,0.001116,0.00021554,0.091
25544,0.5,15.48229,421.91,51.632,0.001116,0.00021554,0.274
25544,1.0,15.48229,421.91,51.632,0.001116,0.00021554,1.554
25544,1.5,15.48229,421.91,51.632,0.001116,0.00021554,2.001
25544,2.0,15.48229,421.91,51.632,0.001116,0.00021554,2.986
25544,3.0,15.48229,421.91,51.632,0.001116,0.00021554,5.434
25544,4.0,15.48229,421.91,51.632,0.001116,0.00021554,9.106
25544,5.0,15.48229,421.91,51.632,0.001116,0.00021554,16.901
25544,6.0,15.48229,421.91,51.632,0.001116,0.00021554,25.238
25544,7.0,15.48229,421.91,51.632,0.001116,0.00021554,34.948
25544,0.25,15.48233,421.9,51.632,0.001117,0.00019486,0.204
25544,0.5,15.48233,421.9,51.632,0.001117,0.00019486,0.681
25544,1.0,15.48233,421.9,51.632,0.001117,0.00019486,0.834
25544,1.5,15.48233,421.9,51.632,0.001117,0.00019486,0.371
25544,2.0,15.48233,421.9,51.632,0.001117,0.00019486,0.635
25544,3.0,15.48233,421.9,51.632,0.001117,0.00019486,0.712
25544,4.0,15.48233,421.9,51.632,0.001117,0.00019486,0.903
25544,5.0,15.48233,421.9,51.632,0.001117,0.00019486,3.827
25544,6.0,15.48233,421.9,51.632,0.001117,0.00019486,6.933
25544,7.0,15.48233,421.9,51.632,0.001117,0.00019486,9.714
25544,0.25,15.48254,421.83,51.632,0.001118,0.000213,0.24
25544,0.5,15.48254,421.83,51.632,0.001118,0.000213,0.374
25544,1.0,15.48254,421.83,51.632,0.001118,0.000213,0.324
25544,1.5,15.48254,421.83,51.632,0.001118,0.000213,0.469
25544,2.0,15.48254,421.83,51.632,0.001118,0.000213,0.896
25544,3.0,15.48254,421.83,51.632,0.001118,0.000213,3.791
25544,4.0,15.48254,421.83,51.632,0.001118,0.000213,9.384
25544,5.0,15.48254,421.83,51.632,0.001118,0.000213,16.696
25544,6.0,15.48254,421.83,51.632,0.001118,0.000213,23.526
25544,7.0,15.48254,421.83,51.632,0.001118,0.000213,30.852
25544,0.25,15.48254,421.83,51.632,0.001118,0.000213,0.24
25544,0.5,15.48254,421.83,51.632,0.001118,0.000213,0.374
25544,1.0,15.48254,421.83,51.632,0.001118,0.000213,0.324
25544,1.5,15.48254,421.83,51.632,0.001118,0.000213,0.469
25544,2.0,15.48254,421.83,51.632,0.001118,0.000213,0.896
25544,3.0,15.48254,421.83,51.632,0.001118,0.000213,3.791
25544,4.0,15.48254,421.83,51.632,0.001118,0.000213,9.384
25544,5.0,15.48254,421.83,51.632,0.001118,0.000213,16.696
